time,bus_voltage_V,current_mA,power_mW,State
12/26/2023 15:18,5.189,537,2780,charging
12/26/2023 15:18,5.177,791,4360,charging
12/26/2023 15:18,5.181,538,2820,charging
12/26/2023 15:18,5.185,666,3380,charging
12/26/2023 15:18,5.189,566,2780,charging
12/26/2023 15:18,5.177,702,3640,charging
12/26/2023 15:18,5.173,639,3540,charging
12/26/2023 15:18,5.177,702,3280,charging
12/26/2023 15:18,5.185,685,3940,charging
12/26/2023 15:18,5.185,710,3540,charging
12/26/2023 15:18,5.177,787,3340,charging
12/26/2023 15:18,5.193,495,2680,charging
12/26/2023 15:18,5.197,578,2760,charging
12/26/2023 15:18,5.197,651,3300,charging
12/26/2023 15:18,5.185,605,3140,charging
12/26/2023 15:18,5.197,517,2780,charging
12/26/2023 15:18,5.173,588,3500,charging
12/26/2023 15:18,5.201,642,2980,charging
12/26/2023 15:18,5.197,621,3080,charging
12/26/2023 15:18,5.197,645,3240,charging
12/26/2023 15:18,5.197,513,2660,charging
12/26/2023 15:18,5.197,538,2720,charging
12/26/2023 15:19,5.197,499,3300,charging
12/26/2023 15:19,5.185,763,3940,charging
12/26/2023 15:19,5.189,666,4580,charging
12/26/2023 15:19,5.189,509,2620,charging
12/26/2023 15:19,5.197,537,2780,charging
12/26/2023 15:19,5.181,537,2820,charging
12/26/2023 15:19,5.173,605,3300,charging
12/26/2023 15:19,5.193,544,2780,charging
12/26/2023 15:19,5.189,716,2820,charging
12/26/2023 15:19,5.189,616,3400,charging
12/26/2023 15:19,5.193,523,2720,charging
12/26/2023 15:19,5.181,537,2820,charging
12/26/2023 15:19,5.197,503,2880,charging
12/26/2023 15:19,5.197,535,3040,charging
12/26/2023 15:19,5.189,902,2880,charging
12/26/2023 15:19,5.193,697,2820,charging
12/26/2023 15:19,5.193,502,2680,charging
12/26/2023 15:19,5.197,535,2780,charging
12/26/2023 15:19,5.189,556,3020,charging
12/26/2023 15:19,5.197,535,2780,charging
12/26/2023 15:19,5.193,539,2620,charging
12/26/2023 15:19,5.197,657,3380,charging
12/26/2023 15:19,5.197,593,3480,charging
12/26/2023 15:19,5.197,536,2940,charging
12/26/2023 15:19,5.193,497,2820,charging
12/26/2023 15:19,5.197,685,3020,charging
12/26/2023 15:19,5.197,626,3140,charging
12/26/2023 15:19,5.197,585,3140,charging
12/26/2023 15:19,5.189,602,3380,charging
12/26/2023 15:19,5.189,659,2780,charging
12/26/2023 15:19,5.185,592,3080,charging
12/26/2023 15:19,5.181,521,2720,charging
12/26/2023 15:19,5.189,671,3220,charging
12/26/2023 15:19,5.189,571,3300,charging
12/26/2023 15:19,5.189,635,3640,charging
12/26/2023 15:19,5.189,557,3700,charging
12/26/2023 15:19,5.189,572,3380,charging
12/26/2023 15:19,5.189,713,3760,charging
12/26/2023 15:19,5.189,649,2780,charging
12/26/2023 15:19,5.185,573,2980,charging
12/26/2023 15:19,5.189,536,3020,charging
12/26/2023 15:19,5.197,516,2580,charging
12/26/2023 15:19,5.197,584,2560,charging
12/26/2023 15:19,5.189,606,2940,charging
12/26/2023 15:19,5.189,541,2680,charging
12/26/2023 15:19,5.181,533,2920,charging
12/26/2023 15:19,5.201,493,2560,charging
12/26/2023 15:19,5.189,687,3580,charging
12/26/2023 15:19,5.189,540,2820,charging
12/26/2023 15:19,5.193,851,2880,charging
12/26/2023 15:19,5.189,702,2780,charging
12/26/2023 15:19,5.193,511,3380,charging
12/26/2023 15:19,5.185,568,2820,charging
12/26/2023 15:19,5.197,522,2860,charging
12/26/2023 15:19,5.193,500,2580,charging
12/26/2023 15:19,5.197,536,2780,charging
12/26/2023 15:19,5.197,535,3280,charging
12/26/2023 15:19,5.197,589,3040,charging
12/26/2023 15:20,5.193,780,2920,charging
12/26/2023 15:20,5.185,536,2820,charging
12/26/2023 15:20,5.177,535,3040,charging
12/26/2023 15:20,5.193,491,3120,charging
12/26/2023 15:20,5.197,718,2940,charging
12/26/2023 15:20,5.189,581,3380,charging
12/26/2023 15:20,5.189,901,4660,charging
12/26/2023 15:20,5.185,538,2780,charging
12/26/2023 15:20,5.197,521,2860,charging
12/26/2023 15:20,5.197,494,2860,charging
12/26/2023 15:20,5.197,501,2980,charging
12/26/2023 15:20,5.201,578,3080,charging
12/26/2023 15:20,5.197,497,2580,charging
12/26/2023 15:20,5.185,702,3400,charging
12/26/2023 15:20,5.197,591,3300,charging
12/26/2023 15:20,5.189,612,3180,charging
12/26/2023 15:20,5.193,643,4680,charging
12/26/2023 15:20,5.193,510,2880,charging
12/26/2023 15:20,5.193,601,2660,charging
12/26/2023 15:20,5.193,701,2820,charging
12/26/2023 15:20,5.197,666,3040,charging
12/26/2023 15:20,5.197,627,2860,charging
12/26/2023 15:20,5.189,614,3020,charging
12/26/2023 15:20,5.189,685,3380,charging
12/26/2023 15:20,5.181,535,2780,charging
12/26/2023 15:20,5.193,596,2780,charging
12/26/2023 15:20,5.189,650,2820,charging
12/26/2023 15:20,5.197,508,2680,charging
12/26/2023 15:20,5.197,634,3220,charging
12/26/2023 15:20,5.189,603,3120,charging
12/26/2023 15:20,5.189,696,3180,charging
12/26/2023 15:20,5.185,563,2820,charging
12/26/2023 15:20,5.189,542,2760,charging
12/26/2023 15:20,5.185,541,2820,charging
12/26/2023 15:20,5.189,638,3400,charging
12/26/2023 15:20,5.189,693,4300,charging
12/26/2023 15:20,5.173,668,3300,charging
12/26/2023 15:20,5.193,670,3120,charging
12/26/2023 15:20,5.185,643,3340,charging
12/26/2023 15:20,5.185,534,2580,charging
12/26/2023 15:20,5.185,795,4120,charging
12/26/2023 15:20,5.185,551,3380,charging
12/26/2023 15:20,5.177,809,3540,charging
12/26/2023 15:20,5.185,537,2780,charging
12/26/2023 15:20,5.189,792,2820,charging
12/26/2023 15:20,5.177,537,3120,charging
12/26/2023 15:20,5.197,508,2660,charging
12/26/2023 15:20,5.193,599,2620,charging
12/26/2023 15:20,5.197,496,3040,charging
12/26/2023 15:20,5.189,541,2760,charging
12/26/2023 15:20,5.197,540,2680,charging
12/26/2023 15:20,5.189,726,3380,charging
12/26/2023 15:20,5.189,567,2780,charging
12/26/2023 15:20,5.193,509,2760,charging
12/26/2023 15:20,5.193,650,3080,charging
12/26/2023 15:20,5.189,533,2780,charging
12/26/2023 15:20,5.197,493,2560,charging
12/26/2023 15:20,5.193,517,3340,charging
12/26/2023 15:21,5.197,606,3120,charging
12/26/2023 15:21,5.185,536,2780,charging
12/26/2023 15:21,5.193,907,2820,charging
12/26/2023 15:21,5.181,541,2780,charging
12/26/2023 15:21,5.197,538,2940,charging
12/26/2023 15:21,5.197,500,2580,charging
12/26/2023 15:21,5.197,641,2780,charging
12/26/2023 15:21,5.197,598,2820,charging
12/26/2023 15:21,5.197,502,3400,charging
12/26/2023 15:21,5.189,537,3140,charging
12/26/2023 15:21,5.193,535,2720,charging
12/26/2023 15:21,5.197,589,3300,charging
12/26/2023 15:21,5.189,542,2820,charging
12/26/2023 15:21,5.177,537,2780,charging
12/26/2023 15:21,5.197,504,3800,charging
12/26/2023 15:21,5.193,741,3140,charging
12/26/2023 15:21,5.185,613,2780,charging
12/26/2023 15:21,5.197,622,2760,charging
12/26/2023 15:21,5.197,499,2680,charging
12/26/2023 15:21,5.189,597,3120,charging
12/26/2023 15:21,5.193,845,2780,charging
12/26/2023 15:21,5.197,584,2560,charging
12/26/2023 15:21,5.197,605,3140,charging
12/26/2023 15:21,5.197,637,3480,charging
12/26/2023 15:21,5.193,713,2940,charging
12/26/2023 15:21,5.189,734,3020,charging
12/26/2023 15:21,5.193,538,2920,charging
12/26/2023 15:21,5.173,609,3140,charging
12/26/2023 15:21,5.185,555,2880,charging
12/26/2023 15:21,5.197,637,3440,charging
12/26/2023 15:21,5.193,631,3380,charging
12/26/2023 15:21,5.197,578,3120,charging
12/26/2023 15:21,5.189,674,3380,charging
12/26/2023 15:21,5.189,639,3120,charging
12/26/2023 15:21,5.189,536,2680,charging
12/26/2023 15:21,5.193,582,3020,charging
12/26/2023 15:21,5.189,550,2680,charging
12/26/2023 15:21,5.189,762,3380,charging
12/26/2023 15:21,5.189,575,3140,charging
12/26/2023 15:21,5.193,538,2620,charging
12/26/2023 15:21,5.201,641,3020,charging
12/26/2023 15:21,5.197,496,3080,charging
12/26/2023 15:21,5.185,661,3380,charging
12/26/2023 15:21,5.181,536,2920,charging
12/26/2023 15:21,5.193,516,2680,charging
12/26/2023 15:21,5.197,578,3480,charging
12/26/2023 15:21,5.197,602,3120,charging
12/26/2023 15:21,5.197,528,2760,charging
12/26/2023 15:21,5.189,540,2880,charging
12/26/2023 15:21,5.189,548,2820,charging
12/26/2023 15:21,5.189,694,4040,charging
12/26/2023 15:21,5.181,544,2820,charging
12/26/2023 15:21,5.189,614,2820,charging
12/26/2023 15:21,5.189,564,4580,charging
12/26/2023 15:21,5.189,638,4760,charging
12/26/2023 15:21,5.189,546,3040,charging
12/26/2023 15:21,5.177,949,3340,charging
12/26/2023 15:21,5.189,548,3240,charging
12/26/2023 15:22,5.185,614,4360,charging
12/26/2023 15:22,5.197,592,3300,charging
12/26/2023 15:22,5.197,572,2980,charging
12/26/2023 15:22,5.189,645,2820,charging
12/26/2023 15:22,5.197,610,2780,charging
12/26/2023 15:22,5.197,588,3120,charging
12/26/2023 15:22,5.197,544,3500,charging
12/26/2023 15:22,5.193,566,2940,charging
12/26/2023 15:22,5.197,618,3300,charging
12/26/2023 15:22,5.197,602,3120,charging
12/26/2023 15:22,5.197,593,3120,charging
12/26/2023 15:22,5.193,540,2580,charging
12/26/2023 15:22,5.189,665,3220,charging
12/26/2023 15:22,5.193,626,4360,charging
12/26/2023 15:22,5.185,532,2920,charging
12/26/2023 15:22,5.193,715,2780,charging
12/26/2023 15:22,5.189,621,2820,charging
12/26/2023 15:22,5.189,535,2680,charging
12/26/2023 15:22,5.197,548,2860,charging
12/26/2023 15:22,5.189,538,3380,charging
12/26/2023 15:22,5.185,645,3340,charging
12/26/2023 15:22,5.189,594,3020,charging
12/26/2023 15:22,5.197,572,3180,charging
12/26/2023 15:22,5.189,650,2780,charging
12/26/2023 15:22,5.197,610,3140,charging
12/26/2023 15:22,5.185,655,2820,charging
12/26/2023 15:22,5.189,521,3020,charging
12/26/2023 15:22,5.197,585,3040,charging
12/26/2023 15:22,5.177,789,3340,charging
12/26/2023 15:22,5.185,538,2780,charging
12/26/2023 15:22,5.193,537,2820,charging
12/26/2023 15:22,5.189,628,4780,charging
12/26/2023 15:22,5.197,492,3020,charging
12/26/2023 15:22,5.197,658,3080,charging
12/26/2023 15:22,5.193,653,3500,charging
12/26/2023 15:22,5.193,523,2560,charging
12/26/2023 15:22,5.181,763,3960,charging
12/26/2023 15:22,5.189,652,3640,charging
12/26/2023 15:22,5.177,764,4220,charging
12/26/2023 15:22,5.193,666,3180,charging
12/26/2023 15:22,5.173,640,3300,charging
12/26/2023 15:22,5.189,840,2880,charging
12/26/2023 15:22,5.177,650,3540,charging
12/26/2023 15:22,5.197,602,3120,charging
12/26/2023 15:22,5.185,973,3860,charging
12/26/2023 15:22,5.185,541,2820,charging
12/26/2023 15:22,5.189,539,2660,charging
12/26/2023 15:22,5.197,612,3680,charging
12/26/2023 15:22,5.193,754,3240,charging
12/26/2023 15:22,5.181,538,2820,charging
12/26/2023 15:22,5.197,502,2980,charging
12/26/2023 15:22,5.197,635,3140,charging
12/26/2023 15:22,5.189,540,2820,charging
12/26/2023 15:22,5.193,656,3120,charging
12/26/2023 15:22,5.189,540,2780,charging
12/26/2023 15:22,5.177,644,3440,charging
12/26/2023 15:22,5.185,538,2660,charging
12/26/2023 15:22,5.197,552,2780,charging
12/26/2023 15:22,5.197,672,2860,charging
12/26/2023 15:23,5.189,592,3080,charging
12/26/2023 15:23,5.189,542,2980,charging
12/26/2023 15:23,5.185,537,2780,charging
12/26/2023 15:23,5.189,622,3380,charging
12/26/2023 15:23,5.189,612,3380,charging
12/26/2023 15:23,5.189,680,3380,charging
12/26/2023 15:23,5.197,538,2660,charging
12/26/2023 15:23,5.197,561,2920,charging
12/26/2023 15:23,5.189,893,2780,charging
12/26/2023 15:23,5.189,540,2580,charging
12/26/2023 15:23,5.197,582,2820,charging
12/26/2023 15:23,5.189,813,3580,charging
12/26/2023 15:23,5.197,521,2760,charging
12/26/2023 15:23,5.193,647,3440,charging
12/26/2023 15:23,5.193,537,2820,charging
12/26/2023 15:23,5.189,767,2980,charging
12/26/2023 15:23,5.193,522,2720,charging
12/26/2023 15:23,5.193,544,2560,charging
12/26/2023 15:23,5.193,701,3960,charging
12/26/2023 15:23,5.185,701,3040,charging
12/26/2023 15:23,5.197,585,3020,charging
12/26/2023 15:23,5.189,551,3540,charging
12/26/2023 15:23,5.197,545,2620,charging
12/26/2023 15:23,5.185,539,2780,charging
12/26/2023 15:23,5.193,748,2780,charging
12/26/2023 15:23,5.193,619,3340,charging
12/26/2023 15:23,5.189,603,4840,charging
12/26/2023 15:23,5.197,587,3580,charging
12/26/2023 15:23,5.193,582,2660,charging
12/26/2023 15:23,5.193,544,3380,charging
12/26/2023 15:23,5.197,517,2860,charging
12/26/2023 15:23,5.197,528,3380,charging
12/26/2023 15:23,5.197,544,2760,charging
12/26/2023 15:23,5.181,723,2780,charging
12/26/2023 15:23,5.197,566,3300,charging
12/26/2023 15:23,5.177,536,2940,charging
12/26/2023 15:23,5.197,514,2580,charging
12/26/2023 15:23,5.197,618,2980,charging
12/26/2023 15:23,5.189,540,3020,charging
12/26/2023 15:23,5.189,922,4780,charging
12/26/2023 15:23,5.193,648,2780,charging
12/26/2023 15:23,5.189,538,2680,charging
12/26/2023 15:23,5.197,655,3220,charging
12/26/2023 15:23,5.189,536,2760,charging
12/26/2023 15:23,5.201,546,3300,charging
12/26/2023 15:23,5.193,588,3020,charging
12/26/2023 15:23,5.189,725,3760,charging
12/26/2023 15:23,5.185,528,2920,charging
12/26/2023 15:23,5.193,633,4840,charging
12/26/2023 15:23,5.197,545,2820,charging
12/26/2023 15:23,5.193,741,2780,charging
12/26/2023 15:23,5.181,536,2820,charging
12/26/2023 15:23,5.197,547,3240,charging
12/26/2023 15:23,5.189,638,3300,charging
12/26/2023 15:23,5.185,588,2760,charging
12/26/2023 15:23,5.197,584,3240,charging
12/26/2023 15:23,5.185,649,3400,charging
12/26/2023 15:23,5.177,529,2880,charging
12/26/2023 15:24,5.197,540,2580,charging
12/26/2023 15:24,5.197,670,3040,charging
12/26/2023 15:24,5.185,616,3220,charging
12/26/2023 15:24,5.181,535,2780,charging
12/26/2023 15:24,5.197,502,2620,charging
12/26/2023 15:24,5.189,597,3120,charging
12/26/2023 15:24,5.193,567,2560,charging
12/26/2023 15:24,5.197,644,2980,charging
12/26/2023 15:24,5.189,834,3960,charging
12/26/2023 15:24,5.197,494,2660,charging
12/26/2023 15:24,5.189,538,2760,charging
12/26/2023 15:24,5.189,649,3380,charging
12/26/2023 15:24,5.193,545,2820,charging
12/26/2023 15:24,5.193,586,3600,charging
12/26/2023 15:24,5.197,558,2940,charging
12/26/2023 15:24,5.197,535,2620,charging
12/26/2023 15:24,5.193,537,2780,charging
12/26/2023 15:24,5.189,692,2780,charging
12/26/2023 15:24,5.189,659,3400,charging
12/26/2023 15:24,5.193,598,3680,charging
12/26/2023 15:24,5.197,593,2780,charging
12/26/2023 15:24,5.197,672,2980,charging
12/26/2023 15:24,5.189,682,2780,charging
12/26/2023 15:24,5.185,537,2940,charging
12/26/2023 15:24,5.193,624,3380,charging
12/26/2023 15:24,5.189,745,2820,charging
12/26/2023 15:24,5.185,653,3840,charging
12/26/2023 15:24,5.193,510,2660,charging
12/26/2023 15:24,5.181,517,2820,charging
12/26/2023 15:24,5.185,641,4040,charging
12/26/2023 15:24,5.185,753,2780,charging
12/26/2023 15:24,5.181,537,2780,charging
12/26/2023 15:24,5.189,601,2780,charging
12/26/2023 15:24,5.189,586,3480,charging
12/26/2023 15:24,5.193,710,3680,charging
12/26/2023 15:24,5.181,571,2760,charging
12/26/2023 15:24,5.197,677,3280,charging
12/26/2023 15:24,5.185,630,3380,charging
12/26/2023 15:24,5.197,579,3280,charging
12/26/2023 15:24,5.189,757,4100,charging
12/26/2023 15:24,5.189,654,2940,charging
12/26/2023 15:24,5.185,772,3900,charging
12/26/2023 15:24,5.197,509,2660,charging
12/26/2023 15:24,5.189,743,3840,charging
12/26/2023 15:24,5.197,522,2720,charging
12/26/2023 15:24,5.173,756,3940,charging
12/26/2023 15:24,5.189,735,3960,charging
12/26/2023 15:24,5.193,587,3240,charging
12/26/2023 15:24,5.173,667,3400,charging
12/26/2023 15:24,5.189,573,2820,charging
12/26/2023 15:24,5.181,537,2780,charging
12/26/2023 15:24,5.197,536,2760,charging
12/26/2023 15:24,5.193,535,2580,charging
12/26/2023 15:24,5.177,621,2760,charging
12/26/2023 15:24,5.197,510,3240,charging
12/26/2023 15:24,5.193,517,2680,charging
12/26/2023 15:24,5.165,712,3700,charging
12/26/2023 15:24,5.189,565,3600,charging
12/26/2023 15:25,5.185,644,3400,charging
12/26/2023 15:25,5.197,674,3500,charging
12/26/2023 15:25,5.173,646,3340,charging
12/26/2023 15:25,5.197,574,3140,charging
12/26/2023 15:25,5.181,903,4260,charging
12/26/2023 15:25,5.177,541,2820,charging
12/26/2023 15:25,5.185,894,3800,charging
12/26/2023 15:25,5.197,602,3500,charging
12/26/2023 15:25,5.189,639,3300,charging
12/26/2023 15:25,5.181,543,2880,charging
12/26/2023 15:25,5.197,599,3080,charging
12/26/2023 15:25,5.189,611,4360,charging
12/26/2023 15:25,5.193,590,3040,charging
12/26/2023 15:25,5.189,599,4300,charging
12/26/2023 15:25,5.189,585,2980,charging
12/26/2023 15:25,5.197,494,2560,charging
12/26/2023 15:25,5.193,561,3040,charging
12/26/2023 15:25,5.189,538,2780,charging
12/26/2023 15:25,5.197,497,3500,charging
12/26/2023 15:25,5.197,602,3120,charging
12/26/2023 15:25,5.189,652,3680,charging
12/26/2023 15:25,5.185,657,4040,charging
12/26/2023 15:25,5.189,718,2780,charging
12/26/2023 15:25,5.197,569,2580,charging
12/26/2023 15:25,5.193,926,4780,charging
12/26/2023 15:25,5.185,538,2820,charging
12/26/2023 15:25,5.197,496,2820,charging
12/26/2023 15:25,5.197,534,2980,charging
12/26/2023 15:25,5.189,879,3140,charging
12/26/2023 15:25,5.193,538,2580,charging
12/26/2023 15:25,5.189,645,4480,charging
12/26/2023 15:25,5.185,543,3040,charging
12/26/2023 15:25,5.193,651,3280,charging
12/26/2023 15:25,5.189,691,2780,charging
12/26/2023 15:25,5.189,561,3340,charging
12/26/2023 15:25,5.193,498,2620,charging
12/26/2023 15:25,5.197,562,3140,charging
12/26/2023 15:25,5.193,547,3220,charging
12/26/2023 15:25,5.189,642,3340,charging
12/26/2023 15:25,5.193,529,2560,charging
12/26/2023 15:25,5.193,667,3040,charging
12/26/2023 15:25,5.189,582,3040,charging
12/26/2023 15:25,5.197,541,2580,charging
12/26/2023 15:25,5.181,538,2940,charging
12/26/2023 15:25,5.197,516,2760,charging
12/26/2023 15:25,5.189,539,2780,charging
12/26/2023 15:25,5.189,877,2780,charging
12/26/2023 15:25,5.189,532,2680,charging
12/26/2023 15:25,5.189,583,3380,charging
12/26/2023 15:25,5.189,539,2620,charging
12/26/2023 15:25,5.197,627,2720,charging
12/26/2023 15:25,5.181,537,2780,charging
12/26/2023 15:25,5.197,556,3120,charging
12/26/2023 15:25,5.189,540,2820,charging
12/26/2023 15:25,5.185,790,4100,charging
12/26/2023 15:25,5.181,560,2940,charging
12/26/2023 15:25,5.197,624,3080,charging
12/26/2023 15:25,5.193,562,2560,charging
12/26/2023 15:26,5.181,548,2660,charging
12/26/2023 15:26,5.189,585,3040,charging
12/26/2023 15:26,5.189,548,2980,charging
12/26/2023 15:26,5.197,555,2880,charging
12/26/2023 15:26,5.193,675,3400,charging
12/26/2023 15:26,5.193,690,2780,charging
12/26/2023 15:26,5.189,555,2820,charging
12/26/2023 15:26,5.197,550,3580,charging
12/26/2023 15:26,5.189,764,3240,charging
12/26/2023 15:26,5.185,593,2820,charging
12/26/2023 15:26,5.189,538,2780,charging
12/26/2023 15:26,5.189,651,2980,charging
12/26/2023 15:26,5.193,534,2780,charging
12/26/2023 15:26,5.177,540,2780,charging
12/26/2023 15:26,5.193,682,3080,charging
12/26/2023 15:26,5.193,691,3180,charging
12/26/2023 15:26,5.193,600,3380,charging
12/26/2023 15:26,5.197,539,2620,charging
12/26/2023 15:26,5.197,541,2580,charging
12/26/2023 15:26,5.193,538,3600,charging
12/26/2023 15:26,5.181,539,2780,charging
12/26/2023 15:26,5.193,535,2780,charging
12/26/2023 15:26,5.193,499,3380,charging
12/26/2023 15:26,5.197,578,3120,charging
12/26/2023 15:26,5.193,614,3280,charging
12/26/2023 15:26,5.189,731,2820,charging
12/26/2023 15:26,5.197,522,2560,charging
12/26/2023 15:26,5.189,538,2620,charging
12/26/2023 15:26,5.197,574,2980,charging
12/26/2023 15:26,5.197,666,3080,charging
12/26/2023 15:26,5.189,623,2820,charging
12/26/2023 15:26,5.197,580,3280,charging
12/26/2023 15:26,5.189,557,3740,charging
12/26/2023 15:26,5.189,651,3860,charging
12/26/2023 15:26,5.197,548,3540,charging
12/26/2023 15:26,5.185,894,3400,charging
12/26/2023 15:26,5.181,542,2980,charging
12/26/2023 15:26,5.185,589,3040,charging
12/26/2023 15:26,5.185,801,4940,charging
12/26/2023 15:26,5.193,571,3040,charging
12/26/2023 15:26,5.181,830,4160,charging
12/26/2023 15:26,5.193,510,2880,charging
12/26/2023 15:26,5.173,663,3400,charging
12/26/2023 15:26,5.185,693,3640,charging
12/26/2023 15:26,5.177,834,4320,charging
12/26/2023 15:26,5.189,747,3800,charging
12/26/2023 15:26,5.177,785,3960,charging
12/26/2023 15:26,5.189,580,2940,charging
12/26/2023 15:26,5.173,780,4360,charging
12/26/2023 15:26,5.189,576,2980,charging
12/26/2023 15:26,5.185,885,3900,charging
12/26/2023 15:26,5.197,511,2680,charging
12/26/2023 15:26,5.189,641,3940,charging
12/26/2023 15:26,5.197,522,2720,charging
12/26/2023 15:26,5.177,641,3340,charging
12/26/2023 15:26,5.193,777,4040,charging
12/26/2023 15:26,5.169,644,3400,charging
12/26/2023 15:26,5.189,540,2820,charging
12/26/2023 15:27,5.177,719,4420,charging
12/26/2023 15:27,5.193,697,4060,charging
12/26/2023 15:27,5.177,780,3940,charging
12/26/2023 15:27,5.181,692,3500,charging
12/26/2023 15:27,5.197,533,2780,charging
12/26/2023 15:27,5.189,613,3300,charging
12/26/2023 15:27,5.197,515,2860,charging
12/26/2023 15:27,5.197,657,3020,charging
12/26/2023 15:27,5.197,638,3080,charging
12/26/2023 15:27,5.189,641,3600,charging
12/26/2023 15:27,5.193,515,2660,charging
12/26/2023 15:27,5.193,651,3500,charging
12/26/2023 15:27,5.189,547,2920,charging
12/26/2023 15:27,5.177,578,2720,charging
12/26/2023 15:27,5.197,651,2980,charging
12/26/2023 15:27,5.193,546,3080,charging
12/26/2023 15:27,5.189,645,3380,charging
12/26/2023 15:27,5.193,721,3280,charging
12/26/2023 15:27,5.197,653,3180,charging
12/26/2023 15:27,5.189,703,2820,charging
12/26/2023 15:27,5.185,516,2680,charging
12/26/2023 15:27,5.193,504,3140,charging
12/26/2023 15:27,5.193,526,2720,charging
12/26/2023 15:27,5.197,505,2940,charging
12/26/2023 15:27,5.193,704,2820,charging
12/26/2023 15:27,5.197,699,3040,charging
